trial_index,audio_filename,condition,position
1,ADR_long_grammatical/A3B3A1B1A2B2_302.wav,long_grammatical,0
2,ADR_long_grammatical/A3B3A2B2A1B1_352.wav,long_grammatical,0
3,ADR_long_grammatical/A3B3A2B2A1B1_331.wav,long_grammatical,0
4,ADR_long_grammatical/A1B1A2B2A3B3_17.wav,long_grammatical,0
5,ADR_long_grammatical/A1B1A3B3A2B2_117.wav,long_grammatical,0
6,ADR_long_grammatical/A1B1A3B3A2B2_73.wav,long_grammatical,0
7,ADR_long_grammatical/A1B1A3B3A2B2_97.wav,long_grammatical,0
8,ADR_long_grammatical/A1B1A2B2A3B3_28.wav,long_grammatical,0
9,ADR_long_grammatical/A2B2A3B3A1B1_207.wav,long_grammatical,0
10,ADR_long_grammatical/A2B2A3B3A1B1_237.wav,long_grammatical,0
11,ADR_long_replacement/A1B1A3B3A2B2_46.wav,long_replacement,-3
12,ADR_long_grammatical/A1B1A3B3A2B2_122.wav,long_grammatical,0
13,ADR_long_grammatical/A1B1A2B2A3B3_25.wav,long_grammatical,0
14,ADR_long_grammatical/A1B1A3B3A2B2_81.wav,long_grammatical,0
15,ADR_long_replacement/A2B2A1B1A3B3_36.wav,long_replacement,-2
16,ADR_long_grammatical/A2B2A3B3A1B1_246.wav,long_grammatical,0
17,ADR_long_concatenation/A2B2A3B3A1B1_46.wav,long_concatenation,-2
18,ADR_long_grammatical/A2B2A3B3A1B1_205.wav,long_grammatical,0
19,ADR_long_grammatical/A2B2A1B1A3B3_177.wav,long_grammatical,0
20,ADR_long_grammatical/A3B3A1B1A2B2_318.wav,long_grammatical,0
21,ADR_long_grammatical/A2B2A3B3A1B1_230.wav,long_grammatical,0
22,ADR_long_grammatical/A1B1A3B3A2B2_82.wav,long_grammatical,0
23,ADR_long_grammatical/A2B2A1B1A3B3_163.wav,long_grammatical,0
24,ADR_long_grammatical/A3B3A2B2A1B1_332.wav,long_grammatical,0
25,ADR_long_grammatical/A3B3A1B1A2B2_313.wav,long_grammatical,0
26,ADR_long_replacement/A3B3A2B2A1B1_31.wav,long_replacement,-3
27,ADR_long_grammatical/A1B1A3B3A2B2_80.wav,long_grammatical,0
28,ADR_long_replacement/A1B1A2B2A3B3_12.wav,long_replacement,-2
29,ADR_long_grammatical/A2B2A1B1A3B3_188.wav,long_grammatical,0
30,ADR_long_grammatical/A3B3A1B1A2B2_261.wav,long_grammatical,0
31,ADR_long_grammatical/A3B3A1B1A2B2_294.wav,long_grammatical,0
32,ADR_long_replacement/A1B1A2B2A3B3_17.wav,long_replacement,-3
33,ADR_long_grammatical/A3B3A1B1A2B2_300.wav,long_grammatical,0
34,ADR_long_grammatical/A3B3A1B1A2B2_262.wav,long_grammatical,0
35,ADR_long_grammatical/A1B1A2B2A3B3_59.wav,long_grammatical,0
36,ADR_long_grammatical/A2B2A3B3A1B1_211.wav,long_grammatical,0
37,ADR_long_grammatical/A2B2A3B3A1B1_202.wav,long_grammatical,0
38,ADR_long_grammatical/A2B2A1B1A3B3_149.wav,long_grammatical,0
39,ADR_long_grammatical/A1B1A2B2A3B3_45.wav,long_grammatical,0
40,ADR_long_grammatical/A3B3A1B1A2B2_281.wav,long_grammatical,0
41,ADR_long_grammatical/A2B2A3B3A1B1_208.wav,long_grammatical,0
42,ADR_long_grammatical/A2B2A3B3A1B1_229.wav,long_grammatical,0
43,ADR_long_grammatical/A2B2A1B1A3B3_154.wav,long_grammatical,0
44,ADR_long_grammatical/A2B2A3B3A1B1_215.wav,long_grammatical,0
45,ADR_long_replacement/A3B3A2B2A1B1_7.wav,long_replacement,-1
46,ADR_long_concatenation/A1B1A3B3A2B2_23.wav,long_concatenation,-2
47,ADR_long_grammatical/A1B1A2B2A3B3_16.wav,long_grammatical,0
48,ADR_long_grammatical/A1B1A3B3A2B2_107.wav,long_grammatical,0
49,ADR_long_grammatical/A2B2A3B3A1B1_249.wav,long_grammatical,0
50,ADR_long_grammatical/A1B1A3B3A2B2_88.wav,long_grammatical,0
51,ADR_long_grammatical/A1B1A3B3A2B2_99.wav,long_grammatical,0
52,ADR_long_grammatical/A3B3A2B2A1B1_342.wav,long_grammatical,0
53,ADR_long_grammatical/A3B3A1B1A2B2_319.wav,long_grammatical,0
54,ADR_long_grammatical/A1B1A2B2A3B3_36.wav,long_grammatical,0
55,ADR_long_grammatical/A3B3A1B1A2B2_314.wav,long_grammatical,0
56,ADR_long_grammatical/A2B2A3B3A1B1_203.wav,long_grammatical,0
57,ADR_long_grammatical/A3B3A1B1A2B2_274.wav,long_grammatical,0
58,ADR_long_grammatical/A2B2A3B3A1B1_241.wav,long_grammatical,0
59,ADR_long_grammatical/A2B2A1B1A3B3_167.wav,long_grammatical,0
60,ADR_long_grammatical/A2B2A1B1A3B3_176.wav,long_grammatical,0
61,ADR_long_grammatical/A3B3A2B2A1B1_379.wav,long_grammatical,0
62,ADR_long_replacement/A2B2A3B3A1B1_29.wav,long_replacement,-2
63,ADR_long_grammatical/A3B3A1B1A2B2_295.wav,long_grammatical,0
64,ADR_long_grammatical/A1B1A2B2A3B3_39.wav,long_grammatical,0
65,ADR_long_grammatical/A2B2A1B1A3B3_143.wav,long_grammatical,0
66,ADR_long_grammatical/A2B2A3B3A1B1_232.wav,long_grammatical,0
67,ADR_long_grammatical/A1B1A3B3A2B2_75.wav,long_grammatical,0
68,ADR_long_grammatical/A1B1A3B3A2B2_112.wav,long_grammatical,0
69,ADR_long_grammatical/A3B3A1B1A2B2_306.wav,long_grammatical,0
70,ADR_long_grammatical/A2B2A3B3A1B1_210.wav,long_grammatical,0
71,ADR_long_grammatical/A1B1A3B3A2B2_76.wav,long_grammatical,0
72,ADR_long_grammatical/A2B2A3B3A1B1_217.wav,long_grammatical,0
73,ADR_long_grammatical/A2B2A1B1A3B3_168.wav,long_grammatical,0
74,ADR_long_concatenation/A2B2A3B3A1B1_4.wav,long_concatenation,-3
75,ADR_long_grammatical/A2B2A1B1A3B3_162.wav,long_grammatical,0
76,ADR_long_grammatical/A3B3A2B2A1B1_365.wav,long_grammatical,0
77,ADR_long_grammatical/A3B3A2B2A1B1_361.wav,long_grammatical,0
78,ADR_long_concatenation/A3B3A2B2A1B1_32.wav,long_concatenation,-3
79,ADR_long_grammatical/A3B3A2B2A1B1_348.wav,long_grammatical,0
80,ADR_long_grammatical/A1B1A3B3A2B2_92.wav,long_grammatical,0
81,ADR_long_concatenation/A1B1A2B2A3B3_6.wav,long_concatenation,-2
82,ADR_long_concatenation/A1B1A3B3A2B2_35.wav,long_concatenation,-3
83,ADR_long_grammatical/A2B2A3B3A1B1_219.wav,long_grammatical,0
84,ADR_long_grammatical/A2B2A1B1A3B3_137.wav,long_grammatical,0
85,ADR_long_grammatical/A3B3A1B1A2B2_293.wav,long_grammatical,0
86,ADR_long_grammatical/A3B3A2B2A1B1_346.wav,long_grammatical,0
87,ADR_long_grammatical/A1B1A2B2A3B3_40.wav,long_grammatical,0
88,ADR_long_grammatical/A3B3A1B1A2B2_311.wav,long_grammatical,0
89,ADR_long_concatenation/A1B1A2B2A3B3_17.wav,long_concatenation,-1
90,ADR_long_grammatical/A2B2A1B1A3B3_191.wav,long_grammatical,0
91,ADR_long_replacement/A2B2A1B1A3B3_38.wav,long_replacement,-3
92,ADR_long_grammatical/A2B2A1B1A3B3_145.wav,long_grammatical,0
93,ADR_long_grammatical/A1B1A3B3A2B2_68.wav,long_grammatical,0
94,ADR_long_concatenation/A3B3A1B1A2B2_44.wav,long_concatenation,-3
95,ADR_long_replacement/A1B1A2B2A3B3_3.wav,long_replacement,-2
96,ADR_long_grammatical/A3B3A1B1A2B2_296.wav,long_grammatical,0
97,ADR_long_replacement/A3B3A2B2A1B1_25.wav,long_replacement,-2
98,ADR_long_grammatical/A3B3A1B1A2B2_275.wav,long_grammatical,0
99,ADR_long_grammatical/A3B3A1B1A2B2_290.wav,long_grammatical,0
100,ADR_long_grammatical/A1B1A3B3A2B2_108.wav,long_grammatical,0
101,ADR_long_grammatical/A2B2A3B3A1B1_244.wav,long_grammatical,0
102,ADR_long_replacement/A2B2A1B1A3B3_8.wav,long_replacement,-2
103,ADR_long_grammatical/A2B2A1B1A3B3_179.wav,long_grammatical,0
104,ADR_long_concatenation/A1B1A3B3A2B2_49.wav,long_concatenation,-3
105,ADR_long_grammatical/A2B2A3B3A1B1_252.wav,long_grammatical,0
106,ADR_long_grammatical/A1B1A2B2A3B3_15.wav,long_grammatical,0
107,ADR_long_grammatical/A2B2A1B1A3B3_185.wav,long_grammatical,0
108,ADR_long_grammatical/A2B2A1B1A3B3_156.wav,long_grammatical,0
109,ADR_long_concatenation/A3B3A2B2A1B1_9.wav,long_concatenation,-2
110,ADR_long_grammatical/A1B1A2B2A3B3_62.wav,long_grammatical,0
111,ADR_long_grammatical/A2B2A1B1A3B3_170.wav,long_grammatical,0
112,ADR_long_replacement/A1B1A2B2A3B3_35.wav,long_replacement,-2
113,ADR_long_grammatical/A2B2A3B3A1B1_218.wav,long_grammatical,0
114,ADR_long_grammatical/A2B2A3B3A1B1_226.wav,long_grammatical,0
115,ADR_long_grammatical/A1B1A2B2A3B3_23.wav,long_grammatical,0
116,ADR_long_grammatical/A3B3A1B1A2B2_271.wav,long_grammatical,0
117,ADR_long_grammatical/A3B3A1B1A2B2_305.wav,long_grammatical,0
118,ADR_long_concatenation/A2B2A3B3A1B1_31.wav,long_concatenation,-1
119,ADR_long_grammatical/A1B1A2B2A3B3_38.wav,long_grammatical,0
120,ADR_long_grammatical/A2B2A3B3A1B1_248.wav,long_grammatical,0
